site,date,start_hour,solar_radiation
2116,2022-02-23,6,6.97
2116,2022-02-23,7,146.43
2116,2022-02-23,8,432.33
2116,2022-02-23,9,571.79
2116,2022-02-23,10,697.3
2116,2022-02-23,11,746.11
2116,2022-02-23,12,787.95
2116,2022-02-23,13,662.43
2116,2022-02-23,14,425.35
2116,2022-02-23,15,404.43
2116,2022-02-23,16,146.43
2116,2022-02-23,17,27.89
2116,2022-02-23,18,0.0
2116,2022-02-23,19,0.0
2116,2022-02-23,20,0.0
2116,2022-02-23,21,0.0
2116,2022-02-23,22,0.0
2116,2022-02-23,23,0.0
2116,2022-02-24,0,0.0
2116,2022-02-24,1,0.0
2116,2022-02-24,2,0.0
2116,2022-02-24,3,0.0
2116,2022-02-24,4,0.0
2116,2022-02-24,5,0.0
2116,2022-02-24,6,6.97
2116,2022-02-24,7,160.38
2116,2022-02-24,8,397.46
2116,2022-02-24,9,578.76
2116,2022-02-24,10,711.25
2116,2022-02-24,11,774.0
2116,2022-02-24,12,774.0
2116,2022-02-24,13,711.25
2116,2022-02-24,14,585.73
2116,2022-02-24,15,411.41
2116,2022-02-24,16,216.16
2116,2022-02-24,17,27.89
2116,2022-02-24,18,0.0
2116,2022-02-24,19,0.0
2116,2022-02-24,20,0.0
2116,2022-02-24,21,0.0
2116,2022-02-24,22,0.0
2116,2022-02-24,23,0.0
2116,2022-02-25,0,0.0
2116,2022-02-25,1,0.0
2116,2022-02-25,2,0.0
2116,2022-02-25,3,0.0
2116,2022-02-25,4,0.0
2116,2022-02-25,5,0.0
2116,2022-02-25,6,6.97
2116,2022-02-25,7,167.35
2116,2022-02-25,8,397.46
2116,2022-02-25,9,578.76
2116,2022-02-25,10,711.25
2116,2022-02-25,11,780.98
2116,2022-02-25,12,780.98
2116,2022-02-25,13,718.22
2116,2022-02-25,14,599.68
2116,2022-02-25,15,418.38
2116,2022-02-25,16,216.16
2116,2022-02-25,17,27.89
2116,2022-02-25,18,0.0
2116,2022-02-25,19,0.0
2116,2022-02-25,20,0.0
2116,2022-02-25,21,0.0
2116,2022-02-25,22,0.0
2116,2022-02-25,23,0.0
2116,2022-02-26,0,0.0
2116,2022-02-26,1,0.0
2116,2022-02-26,2,0.0
2116,2022-02-26,3,0.0
2116,2022-02-26,4,0.0
2116,2022-02-26,5,0.0
2116,2022-02-26,6,6.97
2116,2022-02-26,7,174.32
2116,2022-02-26,8,411.41
2116,2022-02-26,9,592.71
2116,2022-02-26,10,725.19
2116,2022-02-26,11,801.9
2116,2022-02-26,12,801.9
2116,2022-02-26,13,634.54
2116,2022-02-26,14,453.24
2116,2022-02-26,15,264.97
2116,2022-02-26,16,139.46
2116,2022-02-26,17,20.92
2116,2022-02-26,18,0.0
2116,2022-02-26,19,0.0
2116,2022-02-26,20,0.0
2116,2022-02-26,21,0.0
2116,2022-02-26,22,0.0
2116,2022-02-26,23,0.0
2596,2015-07-12,0,0.0
2596,2015-07-12,1,0.0
2596,2015-07-12,2,0.0
2596,2015-07-12,3,0.0
2596,2015-07-12,4,0.25
2596,2015-07-12,5,34.57
2596,2015-07-12,6,246.42
2596,2015-07-12,7,462.25
2596,2015-07-12,8,671.9
2596,2015-07-12,9,808.28
2596,2015-07-12,10,828.83
2596,2015-07-12,11,942.58
2596,2015-07-12,12,989.37
2596,2015-07-12,13,941.65
2596,2015-07-12,14,814.3
2596,2015-07-12,15,639.15
2596,2015-07-12,16,433.81
2596,2015-07-12,17,227.78
2596,2015-07-12,18,57.13
2596,2015-07-12,19,0.1
2596,2015-07-12,20,0.0
2596,2015-07-12,21,0.0
2596,2015-07-12,22,0.0
2596,2015-07-12,23,0.0
2596,2017-05-18,0,0.0
2596,2017-05-18,1,0.0
2596,2017-05-18,2,0.0
2596,2017-05-18,3,0.0
2596,2017-05-18,4,0.1
2596,2017-05-18,5,86.51
2596,2017-05-18,6,288.76
2596,2017-05-18,7,502.08
2596,2017-05-18,8,709.73
2596,2017-05-18,9,866.67
2596,2017-05-18,10,976.38
2596,2017-05-18,11,1036.67
2596,2017-05-18,12,1017.64
2596,2017-05-18,13,939.01
2596,2017-05-18,14,811.75
2596,2017-05-18,15,633.84
2596,2017-05-18,16,417.51
2596,2017-05-18,17,184.72
2596,2017-05-18,18,24.73
2596,2017-05-18,19,0.0
2596,2017-05-18,20,0.0
2596,2017-05-18,21,0.0
2596,2017-05-18,22,0.0
2596,2017-05-18,23,0.0
2596,2017-05-19,0,0.0
2596,2017-05-19,1,0.0
2596,2017-05-19,2,0.0
2596,2017-05-19,3,0.0
2596,2017-05-19,4,0.0
2596,2017-05-19,5,83.88
2596,2017-05-19,6,310.5
2596,2017-05-19,7,540.16
2596,2017-05-19,8,746.66
2596,2017-05-19,9,906.58
2596,2017-05-19,10,1026.24
2596,2017-05-19,11,1079.67
2596,2017-05-19,12,1055.72
2596,2017-05-19,13,974.04
2596,2017-05-19,14,832.92
2596,2017-05-19,15,609.68
2596,2017-05-19,16,408.54
2596,2017-05-19,17,190.36
2596,2017-05-19,18,28.08
2596,2017-05-19,19,0.0
2596,2017-05-19,20,0.0
2596,2017-05-19,21,0.0
2596,2017-05-19,22,0.0
2596,2017-05-19,23,0.0
2596,2017-05-20,0,0.0
2596,2017-05-20,1,0.0
2596,2017-05-20,2,0.0
2596,2017-05-20,3,0.0
2596,2017-05-20,4,0.0
2596,2017-05-20,5,82.53
2596,2017-05-20,6,300.12
2596,2017-05-20,7,527.36
2596,2017-05-20,8,734.23
2596,2017-05-20,9,896.52
2596,2017-05-20,10,1013.07
2596,2017-05-20,11,1061.27
2596,2017-05-20,12,1040.49
2596,2017-05-20,13,957.18
2596,2017-05-20,14,824.94
2596,2017-05-20,15,627.5
2596,2017-05-20,16,421.91
2596,2017-05-20,17,199.28
2596,2017-05-20,18,30.52
2596,2017-05-20,19,0.0
2596,2017-05-20,20,0.0
2596,2017-05-20,21,0.0
2596,2017-05-20,22,0.0
2596,2017-05-20,23,0.0
2596,2017-05-21,0,0.0
2596,2017-05-21,1,0.0
2596,2017-05-21,2,0.0
2596,2017-05-21,3,0.0
2596,2017-05-21,4,0.0
2596,2017-05-21,5,83.22
2596,2017-05-21,6,299.15
2596,2017-05-21,7,523.8
2596,2017-05-21,8,731.34
2596,2017-05-21,9,889.88
2596,2017-05-21,10,1002.93
2596,2017-05-21,11,1057.35
2596,2017-05-21,12,1031.37
2596,2017-05-21,13,952.98
2596,2017-05-21,14,829.95
2596,2017-05-21,15,650.69
2596,2017-05-21,16,431.4
2596,2017-05-21,17,203.76
2596,2017-05-21,18,20.13
2596,2017-05-21,19,0.0
2596,2017-05-21,20,0.0
2596,2017-05-21,21,0.0
2596,2017-05-21,22,0.0
2596,2017-05-21,23,0.0
2596,2017-05-22,0,0.0
2596,2017-05-22,1,0.0
2596,2017-05-22,2,0.0
2596,2017-05-22,3,0.0
2596,2017-05-22,4,0.0
2596,2017-05-22,5,81.0
2596,2017-05-22,6,290.18
2596,2017-05-22,7,512.23
2596,2017-05-22,8,716.48
2596,2017-05-22,9,875.98
2596,2017-05-22,10,982.09
2596,2017-05-22,11,1027.07
2596,2017-05-22,12,1010.37
2596,2017-05-22,13,930.86
2596,2017-05-22,14,812.7
2596,2017-05-22,15,630.34
2596,2017-05-22,16,417.13
2596,2017-05-22,17,197.41
2596,2017-05-22,18,30.22
2596,2017-05-22,19,0.0
2596,2017-05-22,20,0.0
2596,2017-05-22,21,0.0
2596,2017-05-22,22,0.0
2596,2017-05-22,23,0.0
2596,2017-05-23,0,0.0
2596,2017-05-23,1,0.0
2596,2017-05-23,2,0.0
2596,2017-05-23,3,0.0
2596,2017-05-23,4,0.69
2596,2017-05-23,5,78.58
2596,2017-05-23,6,281.79
2596,2017-05-23,7,504.57
2596,2017-05-23,8,710.15
2596,2017-05-23,9,870.23
2596,2017-05-23,10,982.67
2596,2017-05-23,11,1032.25
2596,2017-05-23,12,1009.68
2596,2017-05-23,13,933.61
2596,2017-05-23,14,805.73
2596,2017-05-23,15,633.23
2596,2017-05-23,16,422.76
2596,2017-05-23,17,202.16
2596,2017-05-23,18,33.13
2596,2017-05-23,19,0.0
2596,2017-05-23,20,0.0
2596,2017-05-23,21,0.0
2596,2017-05-23,22,0.0
2596,2017-05-23,23,0.0
2596,2017-05-24,0,0.0
2596,2017-05-24,1,0.0
2596,2017-05-24,2,0.0
2596,2017-05-24,3,0.0
2596,2017-05-24,4,0.39
2596,2017-05-24,5,82.6
2596,2017-05-24,6,300.73
2596,2017-05-24,7,429.63
2596,2017-05-24,8,654.39
2596,2017-05-24,9,833.97
2596,2017-05-24,10,923.23
2596,2017-05-24,11,949.52
2596,2017-05-24,12,1040.08
2596,2017-05-24,13,851.59
2596,2017-05-24,14,844.67
2596,2017-05-24,15,658.8
2596,2017-05-24,16,444.49
2596,2017-05-24,17,212.17
2596,2017-05-24,18,35.48
2596,2017-05-24,19,0.0
2596,2017-05-24,20,0.0
2596,2017-05-24,21,0.0
2596,2017-05-24,22,0.0
2596,2017-05-24,23,0.0
2596,2017-05-25,0,0.0
2596,2017-05-25,1,0.0
2596,2017-05-25,2,0.0
2596,2017-05-25,3,0.0
2596,2017-05-25,4,0.01
2596,2017-05-25,5,13.44
2596,2017-05-25,6,122.79
2596,2017-05-25,7,347.69
2596,2017-05-25,8,495.77
2596,2017-05-25,9,750.71
2596,2017-05-25,10,927.45
2596,2017-05-25,11,1025.02
2596,2017-05-25,12,1017.84
2596,2017-05-25,13,934.98
2596,2017-05-25,14,808.4
2596,2017-05-25,15,630.26
2596,2017-05-25,16,420.63
2596,2017-05-25,17,200.13
2596,2017-05-25,18,34.42
2596,2017-05-25,19,0.0
2596,2017-05-25,20,0.0
2596,2017-05-25,21,0.0
2596,2017-05-25,22,0.0
2596,2017-05-25,23,0.0
2596,2017-05-26,0,0.0
2596,2017-05-26,1,0.0
2596,2017-05-26,2,0.0
2596,2017-05-26,3,0.0
2596,2017-05-26,4,0.45
2596,2017-05-26,5,36.24
2596,2017-05-26,6,136.12
2596,2017-05-26,7,305.62
2596,2017-05-26,8,552.04
2596,2017-05-26,9,807.69
2596,2017-05-26,10,832.4
2596,2017-05-26,11,1006.7
2596,2017-05-26,12,1013.95
2596,2017-05-26,13,935.39
2596,2017-05-26,14,812.44
2596,2017-05-26,15,636.13
2596,2017-05-26,16,421.47
2596,2017-05-26,17,201.07
2596,2017-05-26,18,37.13
2596,2017-05-26,19,0.0
2596,2017-05-26,20,0.0
2596,2017-05-26,21,0.0
2596,2017-05-26,22,0.0
2596,2017-05-26,23,0.0
2596,2017-05-27,0,0.0
2596,2017-05-27,1,0.0
2596,2017-05-27,2,0.0
2596,2017-05-27,3,0.0
2596,2017-05-27,4,1.38
2596,2017-05-27,5,48.05
2596,2017-05-27,6,143.45
2596,2017-05-27,7,234.47
2596,2017-05-27,8,547.03
2596,2017-05-27,9,733.34
2596,2017-05-27,10,961.41
2596,2017-05-27,11,1034.76
2596,2017-05-27,12,1022.49
2596,2017-05-27,13,952.78
2596,2017-05-27,14,825.13
2596,2017-05-27,15,644.26
2596,2017-05-27,16,429.77
2596,2017-05-27,17,203.16
2596,2017-05-27,18,37.08
2596,2017-05-27,19,0.0
2596,2017-05-27,20,0.0
2596,2017-05-27,21,0.0
2596,2017-05-27,22,0.0
2596,2017-05-27,23,0.0
2596,2017-05-28,0,0.0
2596,2017-05-28,1,0.0
2596,2017-05-28,2,0.0
2596,2017-05-28,3,0.0
2596,2017-05-28,4,0.85
2596,2017-05-28,5,85.3
2596,2017-05-28,6,289.3
2596,2017-05-28,7,509.51
2596,2017-05-28,8,707.58
2596,2017-05-28,9,862.91
2596,2017-05-28,10,974.22
2596,2017-05-28,11,1028.87
2596,2017-05-28,12,1014.37
2596,2017-05-28,13,935.86
2596,2017-05-28,14,808.68
2596,2017-05-28,15,639.56
2596,2017-05-28,16,430.69
2596,2017-05-28,17,209.12
2596,2017-05-28,18,37.13
2596,2017-05-28,19,0.0
2596,2017-05-28,20,0.0
2596,2017-05-28,21,0.0
2596,2017-05-28,22,0.0
2596,2017-05-28,23,0.0
2596,2017-05-29,0,0.0
2596,2017-05-29,1,0.0
2596,2017-05-29,2,0.0
2596,2017-05-29,3,0.0
2596,2017-05-29,4,1.98
2596,2017-05-29,5,78.15
2596,2017-05-29,6,234.46
2596,2017-05-29,7,510.59
2596,2017-05-29,8,699.02
2596,2017-05-29,9,841.88
2596,2017-05-29,10,969.35
2596,2017-05-29,11,883.53
2596,2017-05-29,12,997.31
2596,2017-05-29,13,935.13
2596,2017-05-29,14,799.0
2596,2017-05-29,15,588.48
2596,2017-05-29,16,388.05
2596,2017-05-29,17,203.02
2596,2017-05-29,18,36.6
2596,2017-05-29,19,0.0
2596,2017-05-29,20,0.0
2596,2017-05-29,21,0.0
2596,2017-05-29,22,0.0
2596,2017-05-29,23,0.0
2596,2017-05-30,0,0.0
2596,2017-05-30,1,0.0
2596,2017-05-30,2,0.0
2596,2017-05-30,3,0.0
2596,2017-05-30,4,0.27
2596,2017-05-30,5,15.24
2596,2017-05-30,6,42.43
2596,2017-05-30,7,102.39
2596,2017-05-30,8,209.49
2596,2017-05-30,9,602.03
2596,2017-05-30,10,930.54
2596,2017-05-30,11,991.35
2596,2017-05-30,12,992.32
2596,2017-05-30,13,916.05
2596,2017-05-30,14,796.71
2596,2017-05-30,15,615.49
2596,2017-05-30,16,409.91
2596,2017-05-30,17,196.35
2596,2017-05-30,18,24.4
2596,2017-05-30,19,0.0
2596,2017-05-30,20,0.0
2596,2017-05-30,21,0.0
2596,2017-05-30,22,0.0
2596,2017-05-30,23,0.0
2596,2017-05-31,0,0.0
2596,2017-05-31,1,0.0
2596,2017-05-31,2,0.0
2596,2017-05-31,3,0.0
2596,2017-05-31,4,0.3
2596,2017-05-31,5,15.15
2596,2017-05-31,6,54.56
2596,2017-05-31,7,74.83
2596,2017-05-31,8,134.05
2596,2017-05-31,9,259.61
2596,2017-05-31,10,537.52
2596,2017-05-31,11,641.94
2596,2017-05-31,12,720.77
2596,2017-05-31,13,647.97
2596,2017-05-31,14,335.02
2596,2017-05-31,15,264.24
2596,2017-05-31,16,192.35
2596,2017-05-31,17,98.42
2596,2017-05-31,18,60.46
2596,2017-05-31,19,0.0
2596,2017-05-31,20,0.0
2596,2017-05-31,21,0.0
2596,2017-05-31,22,0.0
2596,2017-05-31,23,0.0
2596,2017-06-01,0,0.0
2596,2017-06-01,1,0.0
2596,2017-06-01,2,0.0
2596,2017-06-01,3,0.0
2596,2017-06-01,4,1.01
2596,2017-06-01,5,31.88
2596,2017-06-01,6,125.1
2596,2017-06-01,7,323.62
2596,2017-06-01,8,304.17
2596,2017-06-01,9,657.91
2596,2017-06-01,10,983.67
2596,2017-06-01,11,996.49
2596,2017-06-01,12,973.3
2596,2017-06-01,13,907.4
2596,2017-06-01,14,782.66
2596,2017-06-01,15,605.27
2596,2017-06-01,16,408.57
2596,2017-06-01,17,190.13
2596,2017-06-01,18,35.19
2596,2017-06-01,19,0.0
2596,2017-06-01,20,0.0
2596,2017-06-01,21,0.0
2596,2017-06-01,22,0.0
2596,2017-06-01,23,0.0
2596,2017-06-02,0,0.0
2596,2017-06-02,1,0.0
2596,2017-06-02,2,0.0
2596,2017-06-02,3,0.0
2596,2017-06-02,4,1.91
2596,2017-06-02,5,78.45
2596,2017-06-02,6,269.38
2596,2017-06-02,7,487.99
2596,2017-06-02,8,687.61
2596,2017-06-02,9,844.32
2596,2017-06-02,10,947.32
2596,2017-06-02,11,1003.19
2596,2017-06-02,12,977.83
2596,2017-06-02,13,918.03
2596,2017-06-02,14,792.02
2596,2017-06-02,15,622.43
2596,2017-06-02,16,411.52
2596,2017-06-02,17,198.66
2596,2017-06-02,18,38.13
2596,2017-06-02,19,0.0
2596,2017-06-02,20,0.0
2596,2017-06-02,21,0.0
2596,2017-06-02,22,0.0
2596,2017-06-02,23,0.0
2596,2017-06-03,0,0.0
2596,2017-06-03,1,0.0
2596,2017-06-03,2,0.0
2596,2017-06-03,3,0.0
2596,2017-06-03,4,1.71
2596,2017-06-03,5,81.49
2596,2017-06-03,6,283.4
2596,2017-06-03,7,501.48
2596,2017-06-03,8,698.43
2596,2017-06-03,9,853.95
2596,2017-06-03,10,956.51
2596,2017-06-03,11,1017.2
2596,2017-06-03,12,1006.62
2596,2017-06-03,13,931.46
2596,2017-06-03,14,816.07
2596,2017-06-03,15,646.22
2596,2017-06-03,16,437.11
2596,2017-06-03,17,212.5
2596,2017-06-03,18,41.54
2596,2017-06-03,19,0.0
2596,2017-06-03,20,0.0
2596,2017-06-03,21,0.0
2596,2017-06-03,22,0.0
2596,2017-06-03,23,0.0
2596,2017-06-04,0,0.0
2596,2017-06-04,1,0.0
2596,2017-06-04,2,0.0
2596,2017-06-04,3,0.0
2596,2017-06-04,4,2.39
2596,2017-06-04,5,82.02
2596,2017-06-04,6,269.92
2596,2017-06-04,7,484.23
2596,2017-06-04,8,680.78
2596,2017-06-04,9,838.81
2596,2017-06-04,10,944.89
2596,2017-06-04,11,1008.27
2596,2017-06-04,12,1005.55
2596,2017-06-04,13,929.63
2596,2017-06-04,14,817.44
2596,2017-06-04,15,643.25
2596,2017-06-04,16,432.7
2596,2017-06-04,17,211.47
2596,2017-06-04,18,42.89
2596,2017-06-04,19,0.0
2596,2017-06-04,20,0.0
2596,2017-06-04,21,0.0
2596,2017-06-04,22,0.0
2596,2017-06-04,23,0.0
2596,2017-06-05,0,0.0
2596,2017-06-05,1,0.0
2596,2017-06-05,2,0.0
2596,2017-06-05,3,0.0
2596,2017-06-05,4,1.78
2596,2017-06-05,5,33.37
2596,2017-06-05,6,87.27
2596,2017-06-05,7,187.1
2596,2017-06-05,8,631.85
2596,2017-06-05,9,844.75
2596,2017-06-05,10,957.16
2596,2017-06-05,11,1017.07
2596,2017-06-05,12,1005.91
2596,2017-06-05,13,942.04
2596,2017-06-05,14,827.52
2596,2017-06-05,15,654.33
2596,2017-06-05,16,444.18
2596,2017-06-05,17,225.18
2596,2017-06-05,18,45.6
2596,2017-06-05,19,0.0
2596,2017-06-05,20,0.0
2596,2017-06-05,21,0.0
2596,2017-06-05,22,0.0
2596,2017-06-05,23,0.0
2596,2017-06-06,0,0.0
2596,2017-06-06,1,0.0
2596,2017-06-06,2,0.0
2596,2017-06-06,3,0.0
2596,2017-06-06,4,0.8
2596,2017-06-06,5,20.26
2596,2017-06-06,6,64.57
2596,2017-06-06,7,123.07
2596,2017-06-06,8,279.23
2596,2017-06-06,9,784.15
2596,2017-06-06,10,947.94
2596,2017-06-06,11,999.07
2596,2017-06-06,12,987.24
2596,2017-06-06,13,916.39
2596,2017-06-06,14,796.0
2596,2017-06-06,15,624.79
2596,2017-06-06,16,415.37
2596,2017-06-06,17,208.13
2596,2017-06-06,18,47.65
2596,2017-06-06,19,0.0
2596,2017-06-06,20,0.0
2596,2017-06-06,21,0.0
2596,2017-06-06,22,0.0
2596,2017-06-06,23,0.0
2596,2017-06-07,0,0.0
2596,2017-06-07,1,0.0
2596,2017-06-07,2,0.0
2596,2017-06-07,3,0.0
2596,2017-06-07,4,0.6
2596,2017-06-07,5,21.23
2596,2017-06-07,6,58.43
2596,2017-06-07,7,137.2
2596,2017-06-07,8,363.69
2596,2017-06-07,9,800.64
2596,2017-06-07,10,924.73
2596,2017-06-07,11,976.5
2596,2017-06-07,12,997.8
2596,2017-06-07,13,872.65
2596,2017-06-07,14,806.09
2596,2017-06-07,15,645.09
2596,2017-06-07,16,435.02
2596,2017-06-07,17,215.86
2596,2017-06-07,18,42.32
2596,2017-06-07,19,0.0
2596,2017-06-07,20,0.0
2596,2017-06-07,21,0.0
2596,2017-06-07,22,0.0
2596,2017-06-07,23,0.0
2596,2017-06-08,0,0.0
2596,2017-06-08,1,0.0
2596,2017-06-08,2,0.0
2596,2017-06-08,3,0.0
2596,2017-06-08,4,0.05
2596,2017-06-08,5,11.69
2596,2017-06-08,6,50.18
2596,2017-06-08,7,92.12
2596,2017-06-08,8,151.33
2596,2017-06-08,9,324.91
2596,2017-06-08,10,830.65
2596,2017-06-08,11,997.53
2596,2017-06-08,12,1013.06
2596,2017-06-08,13,928.4
2596,2017-06-08,14,734.48
2596,2017-06-08,15,647.09
2596,2017-06-08,16,391.14
2596,2017-06-08,17,142.51
2596,2017-06-08,18,59.28
2596,2017-06-08,19,0.0
2596,2017-06-08,20,0.0
2596,2017-06-08,21,0.0
2596,2017-06-08,22,0.0
2596,2017-06-08,23,0.0
2596,2017-06-09,0,0.0
2596,2017-06-09,1,0.0
2596,2017-06-09,2,0.0
2596,2017-06-09,3,0.0
2596,2017-06-09,4,1.52
2596,2017-06-09,5,67.55
2596,2017-06-09,6,126.61
2596,2017-06-09,7,238.51
2596,2017-06-09,8,606.28
2596,2017-06-09,9,823.55
2596,2017-06-09,10,930.77
2596,2017-06-09,11,984.48
2596,2017-06-09,12,980.78
2596,2017-06-09,13,916.89
2596,2017-06-09,14,808.92
2596,2017-06-09,15,645.84
2596,2017-06-09,16,421.61
2596,2017-06-09,17,218.26
2596,2017-06-09,18,47.23
2596,2017-06-09,19,0.0
2596,2017-06-09,20,0.0
2596,2017-06-09,21,0.0
2596,2017-06-09,22,0.0
2596,2017-06-09,23,0.0
2596,2017-06-10,0,0.0
2596,2017-06-10,1,0.0
2596,2017-06-10,2,0.0
2596,2017-06-10,3,0.0
2596,2017-06-10,4,0.74
2596,2017-06-10,5,23.25
2596,2017-06-10,6,57.86
2596,2017-06-10,7,208.24
2596,2017-06-10,8,205.92
2596,2017-06-10,9,477.27
2596,2017-06-10,10,908.49
2596,2017-06-10,11,948.83
2596,2017-06-10,12,1031.38
2596,2017-06-10,13,760.6
2596,2017-06-10,14,831.49
2596,2017-06-10,15,581.16
2596,2017-06-10,16,460.69
2596,2017-06-10,17,220.67
2596,2017-06-10,18,36.46
2596,2017-06-10,19,0.0
2596,2017-06-10,20,0.0
2596,2017-06-10,21,0.0
2596,2017-06-10,22,0.0
2596,2017-06-10,23,0.0
2596,2017-06-11,0,0.0
2596,2017-06-11,1,0.0
2596,2017-06-11,2,0.0
2596,2017-06-11,3,0.0
2596,2017-06-11,4,1.55
